"","numero_episodio","Titulo","Tipo","rate","votes","Saga","Lancamento"
"107",107,"Strange Bedfellows","Filler",6.5,235,"s5 The Three-Tailed Demon Turtle",2009
"108",108,"Guidepost of the Camellia","Filler",6.4,236,"s5 The Three-Tailed Demon Turtle",2009
"109",109,"Cursed Seal Counterattack","Filler",6.3,234,"s5 The Three-Tailed Demon Turtle",2009
"110",110,"Memory of Guilt","Filler",6.6,237,"s5 The Three-Tailed Demon Turtle",2009
"111",111,"Shattered Promise","Filler",6.7,240,"s5 The Three-Tailed Demon Turtle",2009
"112",112,"A Place to Return To","Filler",6.9,250,"s5 The Three-Tailed Demon Turtle",2009
"113",113,"The Serpent's Pupil","Manga Canon",7.8,349,"s6 Prophecy and Vengeance",2009
"114",114,"Eye of a Hawk","Manga Canon",8.2,366,"s6 Prophecy and Vengeance",2009
"115",115,"Zabuza's Blade","Mixed Canon/Filler",7.4,322,"s6 Prophecy and Vengeance",2009
"116",116,"Guardian of the Iron Wall","Manga Canon",7.2,312,"s6 Prophecy and Vengeance",2009
"117",117,"Jugo of the Northern Hideout","Manga Canon",7.3,308,"s6 Prophecy and Vengeance",2009
"118",118,"Formation!","Manga Canon",7.2,311,"s6 Prophecy and Vengeance",2009
"119",119,"Kakashi Chronicles: A Boy's Life on the Battlefield, Part 1","Manga Canon",8.7,646,"s6 Prophecy and Vengeance",2009
"120",120,"Kakashi Chronicles: A Boy's Life on the Battlefield, Part 2","Manga Canon",9.2,942,"s6 Prophecy and Vengeance",2009
"121",121,"Assemble","Manga Canon",7.7,342,"s6 Prophecy and Vengeance",2009
"122",122,"The Hunt","Manga Canon",7.8,335,"s6 Prophecy and Vengeance",2009
"123",123,"Clash!","Manga Canon",8.6,468,"s6 Prophecy and Vengeance",2009
"124",124,"Art","Manga Canon",8.6,518,"s6 Prophecy and Vengeance",2009
"125",125,"Disappearance","Manga Canon",8.2,376,"s6 Prophecy and Vengeance",2009
"126",126,"Twilight","Manga Canon",8.4,397,"s6 Prophecy and Vengeance",2009
"127",127,"Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 1","Mixed Canon/Filler",8,356,"s6 Prophecy and Vengeance",2009
"128",128,"Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 2","Mixed Canon/Filler",8.6,418,"s6 Prophecy and Vengeance",2009
"129",129,"Infiltrate! The Village Hidden in the Rain","Manga Canon",8,347,"s6 Prophecy and Vengeance",2009
"130",130,"The Man Who Became God","Manga Canon",8.6,452,"s6 Prophecy and Vengeance",2009
"131",131,"Honored Sage Mode!","Manga Canon",8.9,666,"s6 Prophecy and Vengeance",2009
"132",132,"In Attendance, the Six Paths of Pain","Manga Canon",9.1,775,"s6 Prophecy and Vengeance",2009
"133",133,"The Tale of Jiraiya the Gallant","Manga Canon",9.6,2191,"s6 Prophecy and Vengeance",2009
"134",134,"Banquet Invitation","Manga Canon",8.3,379,"s6 Prophecy and Vengeance",2009
"135",135,"The Longest Moment...","Manga Canon",8.4,388,"s6 Prophecy and Vengeance",2009
"136",136,"The Light & Dark of the Mangekyo Sharingan","Manga Canon",9,705,"s6 Prophecy and Vengeance",2009
"137",137,"Amaterasu!","Manga Canon",9.1,840,"s6 Prophecy and Vengeance",2009
"138",138,"The End","Manga Canon",9.4,1134,"s6 Prophecy and Vengeance",2009
"139",139,"The Mystery of Tobi","Manga Canon",8.6,456,"s6 Prophecy and Vengeance",2009
"140",140,"Fate","Manga Canon",8.9,700,"s6 Prophecy and Vengeance",2009
"141",141,"Truth","Manga Canon",9.1,816,"s6 Prophecy and Vengeance",2009
"142",142,"Battle of Unraikyo","Manga Canon",7.9,329,"s6 Prophecy and Vengeance",2010
"143",143,"The Eight Tails Vs. Sasuke","Manga Canon",8.5,416,"s6 Prophecy and Vengeance",2010
"144",144,"Wanderer","Filler",6.2,234,"s7 The Six-Tailed Demon Slug",2010
"145",145,"Successor of the Forbidden Jutsu","Filler",6.2,228,"s7 The Six-Tailed Demon Slug",2010
